id,cate_id,food_name,alias_name,english_name,edible_part,water,energy,protein,fat,cholesterol,ash,carbohydrate,dietary_fiber,carotene,shihuangchun,vitamin_a,vitamin_e,thiamin,riboflavin,niacin,vitamin_c,calcium,phosphorus,potassium,sodium,magnesium,iron,zinc,selenium,copper,manganese,iodine,sfa,mufa,pufa,fatty_acids_total
493,,乐陵枣,,,,,900kJ,3g,1g,0mg,,49g,9g,2μg,36μg,0μg,5mg,0mg,0mg,1mg,54mg,34mg,52mg,420mg,0mg,41mg,3mg,1mg,1μg,0mg,0mg,,,,,
494,,密云小枣,,,,,895kJ,4g,1g,0mg,,48g,7g,1μg,39μg,0μg,0mg,0mg,0mg,1mg,0mg,80mg,66mg,612mg,9mg,41mg,3mg,1mg,1μg,0mg,0mg,,,,,
495,,黑枣(无核)[乌枣],,,,,954kJ,2g,0g,0mg,,55g,3g,2μg,39μg,7μg,2mg,0mg,0mg,2mg,0mg,108mg,63mg,478mg,6mg,32mg,1mg,0mg,1μg,0mg,1mg,,,,,
496,,黑枣(有核),,,,,954kJ,4g,0g,0mg,,52g,9g,2μg,33μg,0μg,1mg,0mg,0mg,1mg,6mg,42mg,66mg,498mg,1mg,46mg,4mg,2mg,0μg,1mg,0mg,,,,,
497,,酒枣,,,,,607kJ,2g,0g,0mg,,34g,1g,1μg,62μg,0μg,0mg,0mg,0mg,0mg,0mg,75mg,45mg,444mg,1mg,20mg,1mg,0mg,1μg,0mg,0mg,,,,,
498,,蜜枣,,,,,1343kJ,1g,0g,0mg,,79g,6g,1μg,13μg,0μg,0mg,0mg,0mg,0mg,55mg,59mg,22mg,284mg,25mg,19mg,4mg,0mg,1μg,0mg,0mg,,,,,
499,,蜜枣(无核),,,,,1343kJ,1g,0g,0mg,,79g,3g,0μg,17μg,5μg,0mg,0mg,0mg,0mg,104mg,24mg,11mg,104mg,16mg,7mg,2mg,0mg,2μg,0mg,0mg,,,,,
500,,酸枣,,,,,1163kJ,4g,2g,0mg,,63g,11g,3μg,18μg,0μg,0mg,0mg,0mg,1mg,900mg,435mg,95mg,84mg,4mg,96mg,7mg,1mg,1μg,0mg,1mg,,,,,
501,,樱桃,,,,,192kJ,1g,0g,0mg,,10g,0g,0μg,88μg,35μg,2mg,0mg,0mg,1mg,10mg,11mg,27mg,232mg,8mg,12mg,0mg,0mg,0μg,0mg,0mg,,,,,
502,,樱桃(野，白刺),,,,,1205kJ,11g,4g,0mg,,52g,8g,6μg,19μg,0μg,0mg,0mg,0mg,4mg,0mg,59mg,28mg,100mg,98mg,60mg,11mg,0mg,0μg,0mg,1mg,,,,,
503,,葡萄(均值),,,,,180kJ,0g,0g,0mg,,10g,0g,0μg,89μg,8μg,1mg,0mg,0mg,0mg,25mg,5mg,13mg,104mg,1mg,8mg,0mg,0mg,0μg,0mg,0mg,,,,,
504,,红玫瑰葡萄,,,,,155kJ,0g,0g,0mg,,8g,2g,0μg,88μg,0μg,2mg,0mg,0mg,0mg,5mg,17mg,13mg,119mg,2mg,8mg,0mg,0mg,0μg,0mg,0mg,,,,,
505,,巨峰葡萄,,,,,209kJ,0g,0g,0mg,,12g,0g,0μg,87μg,5μg,0mg,0mg,0mg,0mg,4mg,7mg,17mg,128mg,2mg,6mg,1mg,0mg,0μg,0mg,0mg,,,,,
506,,马奶子葡萄,,,,,167kJ,0g,0g,0mg,,9g,0g,0μg,90μg,8μg,0mg,0mg,0mg,1mg,0mg,0mg,0mg,0mg,0mg,0mg,0mg,0mg,0μg,0mg,0mg,,,,,
507,,玫瑰香葡萄,,,,,209kJ,0g,0g,0mg,,11g,1g,0μg,87μg,3μg,1mg,0mg,0mg,0mg,4mg,8mg,14mg,126mg,2mg,4mg,0mg,0mg,0μg,0mg,0mg,,,,,
508,,紫葡萄,,,,,180kJ,1g,0g,0mg,,9g,1g,0μg,88μg,10μg,0mg,0mg,0mg,0mg,3mg,10mg,10mg,151mg,2mg,9mg,0mg,0mg,0μg,0mg,0mg,,,,,
509,,葡萄干,,,,,1427kJ,2g,0g,0mg,,82g,2g,2μg,12μg,0μg,0mg,0mg,0mg,0mg,5mg,52mg,90mg,995mg,19mg,45mg,9mg,0mg,3μg,0mg,0mg,,,,,
510,,石榴(均值),,,,,264kJ,1g,0g,0mg,,14g,5g,1μg,79μg,0μg,5mg,0mg,0mg,0mg,9mg,9mg,71mg,231mg,1mg,16mg,0mg,0mg,0μg,0mg,0mg,,,,,
511,,红粉皮石榴,,,,,268kJ,1g,0g,0mg,,14g,5g,0μg,79μg,0μg,4mg,0mg,0mg,0mg,13mg,16mg,76mg,218mg,1mg,16mg,0mg,0mg,0μg,0mg,0mg,,,,,
