id,cate_id,food_name,alias_name,english_name,edible_part,water,energy,protein,fat,cholesterol,ash,carbohydrate,dietary_fiber,carotene,shihuangchun,vitamin_a,vitamin_e,thiamin,riboflavin,niacin,vitamin_c,calcium,phosphorus,potassium,sodium,magnesium,iron,zinc,selenium,copper,manganese,iodine,sfa,mufa,pufa,fatty_acids_total
120,,豆奶[豆乳],,,,,126kJ,2g,2g,5mg,,2g,0g,0μg,94μg,0μg,4mg,0mg,0mg,0mg,0mg,23mg,35mg,92mg,3mg,7mg,1mg,0mg,1μg,6mg,0mg,,,,,
121,,豆汁(生),,,,,42kJ,1g,0g,0mg,,1g,0g,0μg,97μg,0μg,0mg,0mg,0mg,0mg,0mg,8mg,21mg,47mg,6mg,6mg,0mg,0mg,0μg,0mg,0mg,,,,,
122,,酸豆奶,,,,,280kJ,2g,1g,0mg,,12g,0g,0μg,84μg,0μg,1mg,0mg,0mg,1mg,0mg,32mg,22mg,70mg,19mg,16mg,0mg,0mg,0μg,0mg,0mg,,,,,
123,,豆腐丝,,,,,841kJ,22g,10g,0mg,,5g,1g,3μg,58μg,5μg,10mg,0mg,0mg,0mg,0mg,204mg,220mg,74mg,21mg,127mg,9mg,2mg,1μg,0mg,2mg,,,,,
124,,豆腐丝(干),,,,,1887kJ,58g,23g,0mg,,4g,0g,8μg,7μg,0μg,8mg,0mg,1mg,0mg,0mg,5mg,74mg,7mg,110mg,0mg,1mg,4mg,3μg,0mg,2mg,,,,,
125,,豆腐丝(油),,,,,1255kJ,24g,17g,0mg,,12g,2g,6μg,38μg,3μg,18mg,0mg,0mg,2mg,0mg,152mg,423mg,208mg,769mg,93mg,5mg,3mg,6μg,0mg,1mg,,,,,
126,,豆腐卷,,,,,841kJ,18g,12g,0mg,,6g,1g,2μg,62μg,30μg,28mg,0mg,0mg,0mg,0mg,156mg,288mg,82mg,81mg,152mg,6mg,3mg,3μg,0mg,2mg,,,,,
127,,豆腐皮,,,,,1711kJ,45g,17g,0mg,,19g,0g,3μg,16μg,0μg,21mg,0mg,0mg,2mg,0mg,116mg,318mg,536mg,9mg,111mg,14mg,4mg,2μg,2mg,4mg,,,,,
128,,油豆腐,,,,,1021kJ,17g,18g,0mg,,4g,1g,2μg,59μg,5μg,25mg,0mg,0mg,0mg,0mg,147mg,238mg,158mg,32mg,72mg,5mg,2mg,1μg,0mg,1mg,,,,,
129,,腐竹,,,,,1920kJ,45g,22g,0mg,,21g,1g,4μg,8μg,0μg,28mg,0mg,0mg,1mg,0mg,77mg,284mg,553mg,26mg,71mg,16mg,4mg,7μg,1mg,3mg,,,,,
130,,枝竹,,,,,1975kJ,44g,25g,0mg,,18g,3g,3μg,7μg,0μg,27mg,0mg,0mg,1mg,0mg,49mg,490mg,837mg,83mg,162mg,11mg,3mg,6μg,1mg,3mg,,,,,
131,,千张[百页],,,,,1088kJ,24g,16g,0mg,,4g,1g,2μg,52μg,5μg,23mg,0mg,0mg,0mg,0mg,313mg,309mg,94mg,21mg,80mg,6mg,3mg,2μg,0mg,2mg,,,,,
132,,豆腐干(均值),,,,,586kJ,16g,4g,0mg,,11g,1g,4μg,65μg,0μg,0mg,0mg,0mg,0mg,0mg,308mg,273mg,140mg,76mg,64mg,5mg,2mg,0μg,1mg,1mg,,,,,
133,,豆腐干(菜干),,,,,569kJ,13g,7g,0mg,,5g,0g,3μg,71μg,0μg,1mg,0mg,0mg,0mg,0mg,179mg,79mg,70mg,634mg,81mg,3mg,1mg,0μg,0mg,1mg,,,,,
134,,豆腐干(臭干),,,,,414kJ,10g,5g,0mg,,4g,0g,3μg,78μg,0μg,0mg,0mg,0mg,0mg,0mg,720mg,166mg,136mg,34mg,40mg,4mg,1mg,3μg,0mg,1mg,,,,,
135,,豆腐干(酱油干),,,,,653kJ,15g,9g,0mg,,4g,0g,2μg,70μg,0μg,16mg,0mg,0mg,0mg,0mg,413mg,188mg,130mg,90mg,46mg,6mg,1mg,0μg,1mg,1mg,,,,,
136,,豆腐干(卤干),,,,,1406kJ,14g,17g,0mg,,32g,2g,3μg,32μg,0μg,0mg,0mg,0mg,0mg,0mg,731mg,162mg,134mg,41mg,43mg,4mg,4mg,0μg,1mg,1mg,,,,,
137,,豆腐干(蒲包干),,,,,565kJ,12g,6g,0mg,,9g,0g,1μg,72μg,0μg,14mg,0mg,0mg,0mg,0mg,134mg,57mg,236mg,633mg,21mg,9mg,2mg,0μg,0mg,1mg,,,,,
138,,豆腐干(香干),,,,,632kJ,16g,8g,0mg,,4g,1g,2μg,69μg,7μg,16mg,0mg,0mg,0mg,0mg,299mg,219mg,99mg,234mg,88mg,6mg,2mg,3μg,0mg,1mg,,,,,
139,,豆腐干(小香干),,,,,728kJ,18g,9g,0mg,,5g,0g,7μg,61μg,0μg,7mg,0mg,0mg,0mg,0mg,1019mg,177mg,141mg,372mg,87mg,23mg,3mg,24μg,0mg,2mg,,,,,
140,,豆腐干(熏干),,,,,640kJ,16g,6g,0mg,,8g,0g,2μg,68μg,2μg,7mg,0mg,0mg,1mg,0mg,173mg,109mg,136mg,233mg,109mg,4mg,2mg,9μg,0mg,1mg,,,,,
141,,豆肝尖,,,,,803kJ,17g,12g,0mg,,4g,6g,4μg,58μg,0μg,38mg,0mg,0mg,0mg,0mg,5mg,209mg,24mg,614mg,25mg,7mg,2mg,3μg,0mg,1mg,,,,,
142,,素大肠,,,,,640kJ,18g,4g,0mg,,12g,1g,2μg,63μg,0μg,0mg,0mg,0mg,0mg,0mg,445mg,249mg,179mg,145mg,56mg,4mg,4mg,0μg,1mg,1mg,,,,,
143,,素火腿,,,,,883kJ,19g,13g,0mg,,4g,1g,8μg,55μg,0μg,26mg,0mg,0mg,0mg,0mg,8mg,115mg,24mg,676mg,25mg,7mg,2mg,3μg,0mg,2mg,,,,,
144,,素鸡,,,,,803kJ,16g,12g,0mg,,3g,1g,2μg,64μg,10μg,18mg,0mg,0mg,0mg,0mg,319mg,180mg,42mg,374mg,61mg,5mg,2mg,7μg,0mg,1mg,,,,,
145,,素鸡丝卷,,,,,778kJ,11g,14g,0mg,,4g,6g,2μg,64μg,5μg,28mg,0mg,0mg,0mg,0mg,103mg,261mg,56mg,0mg,121mg,6mg,2mg,2μg,0mg,2mg,,,,,
146,,素什锦,,,,,724kJ,14g,10g,0mg,,6g,2g,2μg,65μg,0μg,10mg,0mg,0mg,0mg,0mg,174mg,186mg,143mg,475mg,45mg,6mg,1mg,3μg,0mg,1mg,,,,,
147,,炸素虾,,,,,2410kJ,28g,44g,0mg,,17g,3g,5μg,3μg,0μg,51mg,0mg,0mg,2mg,0mg,251mg,245mg,211mg,1440mg,110mg,6mg,2mg,4μg,0mg,1mg,,,,,
148,,烤麸,,,,,506kJ,20g,0g,0mg,,9g,0g,1μg,69μg,0μg,0mg,0mg,0mg,1mg,0mg,30mg,72mg,25mg,230mg,38mg,3mg,1mg,0μg,0mg,1mg,,,,,
149,,绿豆,,,,,1322kJ,22g,1g,0mg,,56g,6g,3μg,12μg,22μg,11mg,0mg,0mg,2mg,0mg,81mg,337mg,787mg,3mg,125mg,6mg,2mg,4μg,1mg,1mg,,,,,
150,,绿豆面,,,,,1381kJ,21g,1g,0mg,,60g,6g,3μg,10μg,15μg,0mg,0mg,0mg,1mg,0mg,134mg,304mg,1055mg,3mg,0mg,8mg,3mg,11μg,2mg,0mg,,,,,
151,,绿豆饼[饼折],,,,,510kJ,15g,1g,0mg,,13g,0g,1μg,70μg,0μg,0mg,0mg,0mg,0mg,0mg,18mg,25mg,16mg,3mg,2mg,1mg,0mg,0μg,0mg,0mg,,,,,
152,,赤小豆[小豆，红小豆],,,,,1293kJ,20g,1g,0mg,,56g,8g,3μg,13μg,13μg,14mg,0mg,0mg,2mg,0mg,74mg,305mg,860mg,2mg,138mg,7mg,2mg,4μg,1mg,1mg,,,,,
153,,小豆粥,,,,,255kJ,1g,0g,0mg,,13g,1g,0μg,84μg,0μg,0mg,0mg,0mg,0mg,0mg,13mg,14mg,45mg,2mg,17mg,1mg,0mg,0μg,0mg,0mg,,,,,
154,,豆沙,,,,,1017kJ,6g,2g,0mg,,51g,2g,1μg,39μg,0μg,4mg,0mg,0mg,0mg,0mg,42mg,68mg,139mg,24mg,2mg,8mg,0mg,1μg,0mg,0mg,,,,,
155,,红豆馅,,,,,1004kJ,5g,4g,0mg,,47g,8g,1μg,36μg,0μg,9mg,0mg,0mg,2mg,0mg,2mg,89mg,226mg,3mg,13mg,1mg,1mg,1μg,0mg,0mg,,,,,
156,,花豆(红),,,,,1326kJ,19g,1g,0mg,,57g,6g,2μg,15μg,72μg,6mg,0mg,0mg,3mg,0mg,38mg,48mg,358mg,12mg,17mg,0mg,1mg,19μg,1mg,1mg,,,,,
157,,花豆(紫),,,,,1318kJ,17g,1g,0mg,,58g,7g,2μg,13μg,47μg,10mg,0mg,0mg,3mg,0mg,221mg,169mg,641mg,20mg,120mg,6mg,3mg,74μg,1mg,1mg,,,,,
158,,芸豆(白),,,,,1238kJ,23g,1g,0mg,,47g,10g,4μg,14μg,0μg,6mg,0mg,0mg,2mg,0mg,0mg,0mg,0mg,0mg,0mg,0mg,0mg,0μg,0mg,0mg,,,,,
159,,芸豆(红),,,,,1314kJ,21g,1g,0mg,,54g,8g,4μg,11μg,30μg,8mg,0mg,0mg,2mg,0mg,176mg,218mg,1215mg,1mg,164mg,5mg,2mg,5μg,1mg,1mg,,,,,
160,,芸豆(虎皮),,,,,1397kJ,22g,1g,0mg,,59g,4g,4μg,10μg,0μg,6mg,0mg,0mg,2mg,0mg,156mg,66mg,809mg,3mg,31mg,2mg,1mg,10μg,1mg,1mg,,,,,
161,,芸豆(杂，带皮),,,,,1280kJ,22g,1g,0mg,,53g,10g,4μg,10μg,0μg,0mg,0mg,0mg,0mg,0mg,349mg,386mg,1058mg,10mg,197mg,9mg,2mg,14μg,1mg,1mg,,,,,
162,,蚕豆,,,,,1402kJ,22g,1g,0mg,,60g,2g,3μg,13μg,0μg,2mg,0mg,0mg,2mg,2mg,31mg,418mg,1117mg,86mg,57mg,8mg,3mg,1μg,1mg,1mg,,,,,
163,,蚕豆(带皮),,,,,1272kJ,25g,1g,0mg,,49g,11g,3μg,12μg,8μg,5mg,0mg,0mg,2mg,0mg,49mg,339mg,992mg,21mg,113mg,3mg,5mg,4μg,1mg,1mg,,,,,
164,,蚕豆(去皮),,,,,1431kJ,25g,2g,0mg,,56g,2g,3μg,11μg,50μg,7mg,0mg,0mg,2mg,0mg,54mg,181mg,801mg,2mg,94mg,2mg,3mg,5μg,1mg,1mg,,,,,
165,,马牙大豆,,,,,1343kJ,27g,1g,0mg,,51g,8g,3μg,10μg,0μg,2mg,1mg,0mg,0mg,0mg,7mg,510mg,181mg,87mg,89mg,1mg,3mg,1μg,3mg,1mg,,,,,
166,,脑豆,,,,,1506kJ,23g,4g,0mg,,58g,2g,2μg,11μg,0μg,19mg,0mg,0mg,3mg,0mg,327mg,354mg,686mg,12mg,171mg,8mg,2mg,7μg,1mg,2mg,,,,,
167,,蚕豆(烤),,,,,1556kJ,27g,2g,0mg,,62g,2g,3μg,4μg,18μg,5mg,0mg,0mg,5mg,0mg,229mg,454mg,1083mg,11mg,138mg,5mg,3mg,5μg,1mg,1mg,,,,,
168,,蚕豆(炸)[开花豆],,,,,1866kJ,27g,20g,0mg,,40g,0g,2μg,10μg,0μg,5mg,0mg,0mg,8mg,0mg,207mg,330mg,742mg,548mg,69mg,4mg,3mg,2μg,1mg,0mg,,,,,
169,,扁豆,,,,,1364kJ,25g,0g,0mg,,55g,6g,2μg,10μg,5μg,2mg,0mg,0mg,3mg,0mg,137mg,218mg,439mg,2mg,92mg,19mg,2mg,32μg,1mg,1mg,,,,,
170,,扁豆(白),,,,,1075kJ,19g,1g,0mg,,42g,13g,5μg,19μg,0μg,1mg,0mg,0mg,1mg,0mg,68mg,340mg,1070mg,1mg,163mg,4mg,2mg,1μg,1mg,1mg,,,,,
171,,眉豆[饭豇豆],,,,,1339kJ,19g,1g,0mg,,59g,7g,3μg,12μg,0μg,12mg,0mg,0mg,2mg,0mg,60mg,310mg,525mg,86mg,171mg,6mg,5mg,3μg,1mg,2mg,,,,,
172,,豇豆,,,,,1347kJ,19g,1g,0mg,,58g,7g,3μg,11μg,10μg,9mg,0mg,0mg,2mg,0mg,40mg,344mg,737mg,7mg,36mg,7mg,3mg,6μg,2mg,1mg,,,,,
173,,豇豆(紫),,,,,1318kJ,19g,0g,0mg,,59g,7g,4μg,11μg,3μg,11mg,0mg,0mg,2mg,0mg,67mg,345mg,500mg,4mg,41mg,8mg,2mg,2μg,1mg,1mg,,,,,
174,,豌豆,,,,,1310kJ,20g,1g,0mg,,55g,10g,2μg,10μg,42μg,8mg,0mg,0mg,2mg,0mg,97mg,259mg,823mg,10mg,118mg,5mg,2mg,2μg,0mg,1mg,,,,,
175,,豌豆(花),,,,,1347kJ,22g,1g,0mg,,57g,7g,2μg,12μg,40μg,10mg,1mg,0mg,2mg,0mg,106mg,218mg,736mg,3mg,112mg,4mg,2mg,10μg,1mg,1mg,,,,,
176,,荆豆,,,,,1657kJ,44g,14g,0mg,,23g,5g,5μg,9μg,42μg,0mg,0mg,0mg,2mg,0mg,207mg,785mg,0mg,0mg,0mg,7mg,0mg,0μg,0mg,0mg,,,,,
177,,木豆[扭豆，豆蓉],,,,,1423kJ,20g,4g,0mg,,55g,4g,6μg,11μg,0μg,0mg,1mg,0mg,0mg,0mg,231mg,528mg,0mg,0mg,0mg,12mg,0mg,0μg,0mg,0mg,,,,,
178,,白萝卜[莱菔],,,,,88kJ,1g,0g,0mg,,4g,1g,1μg,93μg,3μg,1mg,0mg,0mg,0mg,21mg,36mg,26mg,173mg,62mg,16mg,0mg,0mg,1μg,0mg,0mg,,,,,
179,,变萝卜[红皮萝卜],,,,,113kJ,1g,0g,0mg,,5g,1g,1μg,92μg,3μg,2mg,0mg,0mg,1mg,24mg,45mg,33mg,167mg,68mg,22mg,1mg,0mg,1μg,0mg,0mg,,,,,
180,,红旦旦萝卜,,,,,71kJ,1g,0g,0mg,,4g,1g,0μg,94μg,0μg,1mg,0mg,0mg,0mg,4mg,9mg,43mg,63mg,20mg,11mg,3mg,0mg,1μg,0mg,0mg,,,,,
181,,红萝卜,,,,,84kJ,1g,0g,0mg,,4g,1g,0μg,94μg,0μg,1mg,0mg,0mg,0mg,3mg,11mg,26mg,110mg,63mg,16mg,3mg,1mg,0μg,0mg,0mg,,,,,
182,,红心萝卜,,,,,159kJ,1g,0g,0mg,,8g,1g,1μg,88μg,13μg,0mg,0mg,0mg,0mg,20mg,86mg,30mg,385mg,49mg,23mg,1mg,1mg,1μg,0mg,0mg,,,,,
183,,花叶萝卜,,,,,180kJ,1g,0g,0mg,,9g,2g,0μg,87μg,0μg,0mg,0mg,0mg,0mg,3mg,16mg,25mg,104mg,47mg,20mg,3mg,1mg,0μg,0mg,0mg,,,,,
184,,青萝卜,,,,,130kJ,1g,0g,0mg,,6g,1g,1μg,91μg,10μg,0mg,0mg,0mg,0mg,14mg,40mg,34mg,232mg,70mg,12mg,1mg,0mg,1μg,0mg,0mg,,,,,
185,,水萝卜[脆萝卜],,,,,84kJ,1g,0g,0mg,,4g,1g,1μg,93μg,42μg,0mg,0mg,0mg,0mg,45mg,0mg,0mg,0mg,10mg,0mg,0mg,0mg,0μg,0mg,0mg,,,,,
186,,小水萝卜[算盘子，红皮萝卜],,,,,79kJ,1g,0g,0mg,,3g,1g,1μg,94μg,3μg,1mg,0mg,0mg,0mg,22mg,32mg,21mg,286mg,34mg,17mg,0mg,0mg,1μg,0mg,0mg,,,,,
187,,心里美萝卜,,,,,88kJ,1g,0g,0mg,,4g,1g,1μg,94μg,2μg,0mg,0mg,0mg,0mg,23mg,68mg,24mg,116mg,85mg,34mg,0mg,0mg,1μg,0mg,0mg,,,,,
188,,胡萝卜(红)[金笋，丁香萝卜],,,,,155kJ,1g,0g,0mg,,8g,1g,1μg,89μg,688μg,0mg,0mg,0mg,1mg,13mg,32mg,27mg,190mg,71mg,14mg,1mg,0mg,1μg,0mg,0mg,,,,,
189,,胡萝卜(黄),,,,,180kJ,1g,0g,0mg,,9g,1g,1μg,87μg,668μg,0mg,0mg,0mg,0mg,16mg,32mg,16mg,193mg,25mg,7mg,0mg,0mg,3μg,0mg,0mg,,,,,
190,,胡萝卜(脱水),,,,,1339kJ,4g,2g,0mg,,72g,6g,5μg,11μg,2875μg,0mg,0mg,0mg,3mg,32mg,458mg,118mg,1117mg,301mg,82mg,8mg,2mg,4μg,1mg,1mg,,,,,
191,,芥菜头[大头菜，水芥],,,,,138kJ,2g,0g,0mg,,6g,1g,1μg,90μg,0μg,0mg,0mg,0mg,1mg,34mg,65mg,36mg,243mg,66mg,19mg,1mg,0mg,1μg,0mg,0mg,,,,,
192,,苤蓝[玉蔓菁，球茎甘蓝],,,,,126kJ,1g,0g,0mg,,6g,1g,1μg,91μg,3μg,0mg,0mg,0mg,0mg,41mg,25mg,46mg,190mg,30mg,24mg,0mg,0mg,0μg,0mg,0mg,,,,,
193,,甜菜根[甜菜头，糖萝卜],,,,,314kJ,1g,0g,0mg,,18g,6g,1μg,75μg,0μg,2mg,0mg,0mg,0mg,8mg,56mg,18mg,254mg,21mg,38mg,1mg,0mg,0μg,0mg,1mg,,,,,
194,,扁豆[月亮菜],,,,,155kJ,3g,0g,0mg,,6g,2g,1μg,88μg,25μg,0mg,0mg,0mg,1mg,13mg,38mg,54mg,178mg,4mg,34mg,2mg,1mg,1μg,0mg,0mg,,,,,
195,,蚕豆,,,,,1402kJ,22g,1g,0mg,,60g,2g,3μg,13μg,0μg,2mg,0mg,0mg,2mg,2mg,31mg,418mg,1117mg,86mg,57mg,8mg,3mg,1μg,1mg,1mg,,,,,
196,,刀豆,,,,,151kJ,3g,0g,0mg,,5g,2g,1μg,89μg,37μg,0mg,0mg,0mg,1mg,15mg,49mg,57mg,209mg,8mg,29mg,5mg,1mg,1μg,0mg,0mg,,,,,
197,,豆角,,,,,126kJ,2g,0g,0mg,,5g,2g,1μg,90μg,33μg,2mg,0mg,0mg,1mg,18mg,29mg,55mg,207mg,3mg,35mg,2mg,1mg,2μg,0mg,0mg,,,,,
198,,豆角(白),,,,,126kJ,2g,0g,0mg,,5g,3g,0μg,90μg,97μg,2mg,0mg,0mg,1mg,39mg,26mg,40mg,192mg,10mg,28mg,1mg,1mg,2μg,0mg,1mg,,,,,
199,,荷兰豆,,,,,113kJ,2g,0g,0mg,,4g,1g,0μg,92μg,80μg,0mg,0mg,0mg,1mg,16mg,51mg,19mg,116mg,9mg,16mg,1mg,0mg,0μg,0mg,0mg,,,,,
200,,龙豆,,,,,134kJ,4g,0g,0mg,,3g,2g,1μg,90μg,87μg,1mg,0mg,0mg,1mg,11mg,147mg,54mg,142mg,4mg,46mg,1mg,0mg,4μg,0mg,0mg,,,,,
201,,龙牙豆[玉豆],,,,,71kJ,3g,0g,0mg,,1g,1g,0μg,94μg,87μg,0mg,0mg,1mg,1mg,12mg,30mg,38mg,200mg,2mg,20mg,1mg,0mg,6μg,0mg,1mg,,,,,
202,,毛豆[青豆，菜用大豆],,,,,515kJ,13g,5g,0mg,,6g,4g,2μg,70μg,22μg,2mg,0mg,0mg,1mg,27mg,135mg,188mg,478mg,4mg,70mg,4mg,2mg,2μg,1mg,1mg,,,,,
203,,四季豆[菜豆],,,,,117kJ,2g,0g,0mg,,4g,2g,1μg,91μg,35μg,1mg,0mg,0mg,0mg,6mg,42mg,51mg,123mg,9mg,27mg,2mg,0mg,0μg,0mg,0mg,,,,,
204,,豌豆(带荚)[回回豆],,,,,439kJ,7g,0g,0mg,,18g,3g,1μg,70μg,37μg,1mg,0mg,0mg,2mg,14mg,21mg,127mg,332mg,1mg,43mg,2mg,1mg,2μg,0mg,1mg,,,,,
205,,豌豆尖,,,,,933kJ,3g,0g,0mg,,53g,1g,1μg,42μg,452μg,0mg,0mg,0mg,0mg,11mg,17mg,65mg,160mg,3mg,24mg,5mg,1mg,2μg,0mg,1mg,,,,,
206,,油豆角[多花菜豆],,,,,92kJ,2g,0g,0mg,,2g,2g,1μg,92μg,27μg,2mg,0mg,0mg,1mg,11mg,69mg,56mg,240mg,3mg,35mg,2mg,0mg,1μg,1mg,0mg,,,,,
207,,垅船豆,,,,,142kJ,2g,0g,0mg,,6g,1g,0μg,90μg,13μg,0mg,0mg,0mg,0mg,13mg,37mg,0mg,192mg,1mg,22mg,1mg,0mg,0μg,0mg,0mg,,,,,
208,,芸豆,,,,,105kJ,1g,0g,0mg,,5g,2g,1μg,91μg,40μg,0mg,0mg,0mg,1mg,9mg,88mg,37mg,112mg,4mg,16mg,1mg,1mg,0μg,0mg,0mg,,,,,
209,,豇豆,,,,,1347kJ,19g,1g,0mg,,58g,7g,3μg,11μg,10μg,9mg,0mg,0mg,2mg,0mg,40mg,344mg,737mg,7mg,36mg,7mg,3mg,6μg,2mg,1mg,,,,,
210,,豇豆(长),,,,,121kJ,3g,0g,0mg,,4g,2g,0μg,91μg,20μg,1mg,0mg,0mg,1mg,18mg,42mg,50mg,145mg,5mg,43mg,1mg,1mg,1μg,0mg,0mg,,,,,
211,,发芽豆,,,,,536kJ,12g,1g,0mg,,18g,1g,1μg,66μg,0μg,3mg,0mg,0mg,2mg,4mg,41mg,134mg,179mg,4mg,1mg,5mg,1mg,1μg,0mg,0mg,,,,,
212,,黄豆芽,,,,,184kJ,4g,2g,0mg,,3g,2g,1μg,89μg,5μg,1mg,0mg,0mg,1mg,8mg,21mg,74mg,160mg,7mg,21mg,1mg,1mg,1μg,0mg,0mg,,,,,
213,,绿豆芽,,,,,75kJ,2g,0g,0mg,,2g,1g,0μg,95μg,3μg,0mg,0mg,0mg,0mg,6mg,9mg,37mg,68mg,4mg,18mg,1mg,0mg,0μg,0mg,0mg,,,,,
214,,豌豆苗,,,,,142kJ,4g,1g,0mg,,3g,2g,1μg,90μg,445μg,2mg,0mg,0mg,1mg,67mg,40mg,67mg,222mg,18mg,21mg,4mg,1mg,1μg,0mg,1mg,,,,,
215,,茄子(均值),,,,,88kJ,1g,0g,0mg,,4g,1g,0μg,93μg,8μg,1mg,0mg,0mg,1mg,5mg,24mg,23mg,142mg,5mg,13mg,0mg,0mg,0μg,0mg,0mg,,,,,
216,,茄子(绿皮),,,,,105kJ,1g,1g,0mg,,4g,1g,0μg,93μg,20μg,1mg,0mg,0mg,1mg,7mg,12mg,26mg,162mg,7mg,13mg,0mg,0mg,1μg,0mg,0mg,,,,,
217,,茄子(圆),,,,,117kJ,2g,0g,0mg,,5g,2g,0μg,91μg,0μg,1mg,0mg,0mg,0mg,1mg,5mg,19mg,112mg,3mg,17mg,2mg,0mg,0μg,0mg,0mg,,,,,
218,,茄子(紫皮，长),,,,,79kJ,1g,0g,0mg,,4g,2g,0μg,93μg,30μg,0mg,0mg,0mg,1mg,7mg,55mg,28mg,136mg,6mg,15mg,0mg,0mg,1μg,0mg,0mg,,,,,
219,,番茄[西红柿],,,,,79kJ,1g,0g,0mg,,4g,0g,0μg,94μg,92μg,1mg,0mg,0mg,1mg,19mg,10mg,23mg,163mg,5mg,9mg,0mg,0mg,0μg,0mg,0mg,,,,,
220,,番茄(整个，罐头),,,,,88kJ,2g,1g,0mg,,2g,1g,1μg,94μg,192μg,2mg,0mg,0mg,1mg,5mg,31mg,22mg,197mg,247mg,12mg,0mg,0mg,0μg,0mg,0mg,,,,,
221,,奶柿子[西红柿],,,,,54kJ,1g,0g,0mg,,2g,1g,0μg,96μg,88μg,1mg,0mg,0mg,1mg,8mg,15mg,21mg,163mg,8mg,9mg,0mg,0mg,0μg,0mg,0mg,,,,,
222,,辣椒(红，尖，干),,,,,887kJ,15g,12g,0mg,,11g,42g,6μg,15μg,0μg,9mg,1mg,0mg,1mg,0mg,12mg,298mg,1085mg,4mg,131mg,6mg,8mg,0μg,1mg,12mg,,,,,
223,,辣椒(红，小),,,,,134kJ,1g,0g,0mg,,6g,3g,1μg,89μg,232μg,0mg,0mg,0mg,1mg,144mg,37mg,95mg,222mg,3mg,16mg,1mg,0mg,2μg,0mg,0mg,,,,,
224,,辣椒(青，尖),,,,,96kJ,1g,0g,0mg,,4g,2g,1μg,92μg,57μg,1mg,0mg,0mg,0mg,62mg,15mg,33mg,209mg,2mg,15mg,1mg,0mg,1μg,0mg,0mg,,,,,
225,,甜椒[灯笼椒，柿子椒],,,,,92kJ,1g,0g,0mg,,4g,1g,0μg,93μg,57μg,1mg,0mg,0mg,1mg,72mg,14mg,20mg,142mg,3mg,12mg,1mg,0mg,0μg,0mg,0mg,,,,,
226,,甜椒(脱水),,,,,1284kJ,8g,0g,0mg,,68g,8g,5μg,10μg,2818μg,6mg,0mg,0mg,4mg,846mg,130mg,106mg,1443mg,26mg,145mg,7mg,2mg,3μg,1mg,1mg,,,,,
227,,葫子,,,,,113kJ,1g,0g,0mg,,6g,1g,0μg,92μg,163μg,1mg,0mg,0mg,1mg,29mg,49mg,27mg,73mg,1mg,10mg,0mg,1mg,4μg,1mg,0mg,,,,,
228,,秋葵[黄秋葵，羊角豆],,,,,155kJ,2g,0g,0mg,,7g,4g,1μg,86μg,52μg,1mg,0mg,0mg,1mg,4mg,45mg,65mg,95mg,4mg,29mg,0mg,0mg,1μg,0mg,0mg,,,,,
229,,白瓜,,,,,42kJ,1g,0g,0mg,,2g,1g,0μg,96μg,0μg,0mg,0mg,0mg,0mg,16mg,6mg,11mg,70mg,1mg,8mg,0mg,0mg,1μg,0mg,0mg,,,,,
230,,菜瓜[生瓜，白瓜],,,,,75kJ,1g,0g,0mg,,4g,0g,0μg,95μg,3μg,0mg,0mg,0mg,0mg,12mg,20mg,14mg,136mg,2mg,15mg,0mg,0mg,1μg,0mg,0mg,,,,,
231,,冬瓜,,,,,46kJ,0g,0g,0mg,,2g,1g,0μg,97μg,13μg,0mg,0mg,0mg,0mg,18mg,19mg,12mg,78mg,2mg,8mg,0mg,0mg,0μg,0mg,0mg,,,,,
232,,方瓜,,,,,54kJ,1g,0g,0mg,,2g,1g,0μg,96μg,23μg,0mg,0mg,0mg,1mg,2mg,40mg,13mg,4mg,4mg,9mg,0mg,1mg,0μg,0mg,0mg,,,,,
233,,佛手瓜[棒瓜，菜肴梨],,,,,67kJ,1g,0g,0mg,,3g,1g,1μg,94μg,3μg,0mg,0mg,0mg,0mg,8mg,17mg,18mg,76mg,1mg,10mg,0mg,0mg,1μg,0mg,0mg,,,,,
234,,葫芦[长瓜，蒲瓜，瓠瓜],,,,,63kJ,1g,0g,0mg,,3g,1g,0μg,95μg,7μg,0mg,0mg,0mg,0mg,11mg,16mg,15mg,87mg,1mg,7mg,0mg,0mg,0μg,0mg,0mg,,,,,
235,,葫芦条(干),,,,,916kJ,4g,2g,0mg,,46g,18g,4μg,25μg,0μg,0mg,0mg,0mg,1mg,0mg,114mg,187mg,480mg,36mg,80mg,8mg,3mg,2μg,1mg,2mg,,,,,
236,,黄瓜[胡瓜],,,,,63kJ,1g,0g,0mg,,2g,0g,0μg,96μg,15μg,0mg,0mg,0mg,0mg,9mg,24mg,24mg,102mg,5mg,15mg,0mg,0mg,0μg,0mg,0mg,,,,,
237,,节瓜[毛瓜],,,,,50kJ,1g,0g,0mg,,2g,1g,0μg,96μg,0μg,0mg,0mg,0mg,0mg,39mg,4mg,13mg,40mg,0mg,7mg,0mg,0mg,0μg,0mg,0mg,,,,,
238,,金瓜,,,,,59kJ,0g,0g,0mg,,3g,1g,0μg,96μg,10μg,0mg,0mg,0mg,1mg,2mg,17mg,10mg,152mg,1mg,8mg,1mg,0mg,0μg,0mg,0mg,,,,,
