mufa,pufa,fat,vitamin_a,zinc,id,edible_part,carotene,vitamin_c,magnesium,selenium,iodine,thiamin,fatty_acids_total,potassium,dietary_fiber,alias_name,energy,niacin,calcium,cate_id,protein,riboflavin,sodium,copper,water,carbohydrate,vitamin_e,phosphorus,iron,food_name,english_name,cholesterol,ash,retinol,manganese,sfa
"""—""","""—""","""0.1g""","""0.0μg""","""0.39mg""","""602""","""100%""","""Tr""","""—""","""9mg""","""1.80μg""","""Tr""","""0.03mg""","""—""","""242mg""","""""","""""","""167kJ""","""3.68mg""","""13mg""","""53""","""1.3g""","""0.14mg""","""3.5mg""","""0.06mg""","""89.6g""","""8.3g""","""—""","""66mg""","""0.5mg""","""杏鲍菇""","""""","""—""","""0.7g""","""""","""0.04mg""","""—"""
"""—""","""—""","""3.1g""","""0.0μg""","""2.20mg""","""603""","""100%""","""Tr""","""—""","""114mg""","""4.20μg""","""—""","""0.03mg""","""—""","""11882mg""","""""","""""","""1442kJ""","""9.10mg""","""18mg""","""53""","""17.8g""","""1.75mg""","""50.0mg""","""2.51mg""","""13.9g""","""60.3g""","""—""","""289mg""","""17.8mg""","""竹荪(干)[竹笙、竹参]""","""""","""—""","""4.9g""","""""","""8.47mg""","""—"""
"""—""","""—""","""0.5g""","""0μg""","""2mg""","""604""","""100%""","""7μg""","""6.0mg""","""129mg""","""5.20μg""","""""","""0.15mg""","""—""","""217mg""","""35g""","""""","""1396kJ""","""1mg""","""1048mg""","""54""","""20.2g""","""1mg""","""101mg""","""1mg""","""11.1g""","""60.8g""","""0mg""","""76mg""","""85.2mg""","""发菜(干)[仙菜]""","""""","""0mg""","""7.4g""","""11μg""","""3.29mg""","""—"""
"""—""","""—""","""0.1g""","""""","""0.16mg""","""605""","""100%""","""""","""""","""25mg""","""9.50μg""","""""","""0.02mg""","""—""","""246mg""","""""","""""","""60kJ""","""1.30mg""","""46mg""","""54""","""1.2g""","""0.15mg""","""8.6mg""","""""","""94.4g""","""2.1g""","""—""","""22mg""","""0.9mg""","""海带[江白菜](鲜)""","""""","""""","""2.2g""","""""","""0.07mg""","""—"""
"""—""","""—""","""0.1g""","""40μg""","""1mg""","""606""","""98%""","""240.0μg""","""0mg""","""129mg""","""6μg""","""""","""0.01mg""","""—""","""761mg""","""6g""","""""","""432kJ""","""1mg""","""348mg""","""54""","""2g""","""0.10mg""","""327.4mg""","""0.14mg""","""70.5g""","""23.4g""","""1mg""","""52mg""","""5mg""","""海带(干)[江白菜，昆布]""","""""","""0mg""","""4.2g""","""70μg""","""1.14mg""","""—"""
"""—""","""—""","""0.1g""","""52μg""","""1mg""","""607""","""100%""","""310.0μg""","""0mg""","""61mg""","""5μg""","""""","""0.02mg""","""—""","""222mg""","""1g""","""""","""73kJ""","""1mg""","""241mg""","""54""","""1.1g""","""0.10mg""","""108mg""","""0.03mg""","""94.1g""","""3.0g""","""0mg""","""29mg""","""3.3mg""","""海带(浸)[江白菜，昆布]""","""""","""0mg""","""1.7g""","""94μg""","""1.47mg""","""—"""
"""—""","""—""","""0.1g""","""""","""1.94mg""","""608""","""100%""","""""","""""","""15mg""","""15.20μg""","""""","""0.06mg""","""—""","""141mg""","""""","""""","""1335kJ""","""3.30mg""","""167mg""","""54""","""5.4g""","""0.20mg""","""380.8mg""","""0.12mg""","""15.6g""","""72.9g""","""—""","""209mg""","""2.0mg""","""海冻菜[石花菜，冻菜](干)""","""""","""""","""6.0g""","""""","""0.04mg""","""—"""
"""—""","""—""","""0.2g""","""0μg""","""6.25mg""","""609""","""100%""","""1μg""","""0mg""","""70mg""","""2.10μg""","""""","""0mg""","""—""","""11mg""","""0g""","""""","""1323kJ""","""0mg""","""100mg""","""54""","""1.1g""","""0mg""","""3.3mg""","""0.30mg""","""21.1g""","""76.3g""","""0mg""","""7mg""","""7.0mg""","""琼脂[紫菜胶洋粉]""","""""","""0mg""","""1.3g""","""21μg""","""1.40mg""","""—"""
"""17.1%""","""17.7%""","""0.4g""","""0μg""","""4mg""","""610""","""100%""","""31μg""","""0mg""","""1257mg""","""6μg""","""""","""0.35mg""","""87.5%""","""410mg""","""9g""","""""","""785kJ""","""4.00mg""","""185mg""","""54""","""19.0g""","""0.40mg""","""4955.0mg""","""1.11mg""","""23.7g""","""26.3g""","""0mg""","""302mg""","""284mg""","""苔菜(干)[苔条，条浒苔]""","""""","""0mg""","""30.6g""","""24μg""","""0mg""","""52.7%"""
"""—""","""—""","""1.1g""","""228μg""","""2.47mg""","""611""","""100%""","""1370.0μg""","""2.0mg""","""105mg""","""7.20μg""","""""","""0.27mg""","""—""","""1796mg""","""22g""","""""","""1244kJ""","""7.30mg""","""264mg""","""54""","""27g""","""1.02mg""","""710.5mg""","""2mg""","""12.7g""","""44.1g""","""2mg""","""350mg""","""55mg""","""紫菜(干)""","""""","""0mg""","""15.4g""","""13μg""","""4.32mg""","""—"""
